TP,TN,FP,FN,Accuracy,Sensitivity(Recall),Specificity,Precision
0.5126063539146047,7.805791897588011e-05,0.4873155881664195,0.0,0.5126844118335806,1.0,0.0001601537475976938,0.5126463700234193
0.5126063539146047,7.805791897588011e-05,0.4873155881664195,0.0,0.5126844118335806,1.0,0.0001601537475976938,0.5126463700234193
0.5126063539146047,7.805791897588011e-05,0.4873155881664195,0.0,0.5126844118335806,1.0,0.0001601537475976938,0.5126463700234193
0.5126063539146047,7.805791897588011e-05,0.4873155881664195,0.0,0.5126844118335806,1.0,0.0001601537475976938,0.5126463700234193
0.5126063539146047,7.805791897588011e-05,0.4873155881664195,0.0,0.5126844118335806,1.0,0.0001601537475976938,0.5126463700234193
0.5126063539146047,0.00015611583795176022,0.4872375302474436,0.0,0.5127624697525565,1.0,0.0003203074951953876,0.5126863923803576
0.5126063539146047,0.0002341737569276403,0.4871594723284677,0.0,0.5128405276715324,1.0,0.00048046124279308144,0.5127264209868833
0.5126063539146047,0.0002341737569276403,0.4871594723284677,0.0,0.5128405276715324,1.0,0.00048046124279308144,0.5127264209868833
0.5126063539146047,0.00031223167590352044,0.4870814144094918,0.0,0.5129185855905083,1.0,0.0006406149903907752,0.5127664558444601
0.5126063539146047,0.00031223167590352044,0.4870814144094918,0.0,0.5129185855905083,1.0,0.0006406149903907752,0.5127664558444601
0.5125282959956288,0.00031223167590352044,0.4870814144094918,7.805791897588011e-05,0.5128405276715323,0.999847723465814,0.0006406149903907752,0.5127284085584882
0.5125282959956288,0.00031223167590352044,0.4870814144094918,7.805791897588011e-05,0.5128405276715323,0.999847723465814,0.0006406149903907752,0.5127284085584882
0.5125282959956288,0.00031223167590352044,0.4870814144094918,7.805791897588011e-05,0.5128405276715323,0.999847723465814,0.0006406149903907752,0.5127284085584882
0.5125282959956288,0.0004683475138552806,0.48692529857154015,7.805791897588011e-05,0.512996643509484,0.999847723465814,0.0009609224855861627,0.5128084973445798
0.5125282959956288,0.0005464054328311607,0.48684724065256424,7.805791897588011e-05,0.5130747014284599,0.999847723465814,0.0011210762331838563,0.512848551120831
0.5125282959956288,0.0005464054328311607,0.48684724065256424,7.805791897588011e-05,0.5130747014284599,0.999847723465814,0.0011210762331838563,0.512848551120831
0.5124502380766529,0.0005464054328311607,0.48684724065256424,0.00015611583795176022,0.512996643509484,0.9996954469316279,0.0011210762331838563,0.5128104983596313
0.5122941222387012,0.0005464054328311607,0.48684724065256424,0.00031223167590352044,0.5128405276715323,0.9993908938632556,0.0011210762331838563,0.512734375
0.5122941222387012,0.0005464054328311607,0.48684724065256424,0.00031223167590352044,0.5128405276715323,0.9993908938632556,0.0011210762331838563,0.512734375
0.5122941222387012,0.0005464054328311607,0.48684724065256424,0.00031223167590352044,0.5128405276715323,0.9993908938632556,0.0011210762331838563,0.512734375
0.5122941222387012,0.0005464054328311607,0.48684724065256424,0.00031223167590352044,0.5128405276715323,0.9993908938632556,0.0011210762331838563,0.512734375
0.5122941222387012,0.0007805791897588009,0.4866130668956365,0.00031223167590352044,0.51307470142846,0.9993908938632556,0.0016015374759769377,0.5128545752910839
0.5122160643197252,0.000858637108734681,0.48653500897666074,0.0003902895948794005,0.5130747014284599,0.9992386173290696,0.0017616912235746312,0.5128565846033606
0.5122160643197252,0.0009366950277105609,0.4864569510576848,0.0003902895948794005,0.5131527593474358,0.9992386173290696,0.0019218449711723247,0.5128966703142097
0.5120599484817735,0.001014752946686441,0.4863788931387089,0.0005464054328311607,0.51307470142846,0.9989340642606975,0.0020819987187700186,0.51286060511297
0.5119038326438217,0.001014752946686441,0.4863788931387089,0.0007025212707829208,0.5129185855905081,0.9986295111923251,0.0020819987187700186,0.5127844241144733
0.5118257747248459,0.0012489267036140815,0.4861447193817813,0.000780579189758801,0.51307470142846,0.9984772346581391,0.0025624599615631004,0.5128666405944466
0.5113574272109905,0.0016392162984934819,0.4857544297869019,0.0012489267036140817,0.512996643509484,0.9975635754530227,0.0033632286995515684,0.5128385783622984
0.511123253454063,0.0020295058933728826,0.48536414019202245,0.0014831004605417222,0.5131527593474359,0.9971067458504645,0.004163997437540039,0.5129249569168103
0.5102646163453282,0.003122316759035204,0.4842713293263602,0.002341737569276403,0.5133869331043635,0.9954317039744176,0.0064061499039077515,0.5130680480339063
0.5094059792365936,0.004449301381625165,0.4829443447037703,0.003200374678011084,0.5138552806182186,0.9937566620983708,0.009128763613068542,0.513332808935735
0.5076106471001482,0.00702521270782921,0.4803684333775661,0.004995706814456326,0.5146358598079775,0.9902543018120906,0.014413837283792445,0.5137868373232204
0.5054250253688235,0.011318398251502616,0.4760752478338927,0.00718132854578097,0.5167434236203262,0.9859905588548804,0.023222293401665605,0.5149514871958008
0.501912419014909,0.0176410896885489,0.4697525563968465,0.010693934899695574,0.519553508703458,0.9791381148165067,0.03619474695707879,0.5165488431876607
0.4988681601748497,0.024041839044571068,0.46335180704082435,0.013738193739754895,0.5229099992194207,0.9731993299832495,0.04932735426008967,0.5184554230550823
0.49387245336039337,0.033955194754507846,0.4534384513308875,0.018733900554211223,0.5278276481149013,0.9634536317953403,0.0696668802049968,0.5213414634146342
0.4866130668956365,0.0439466083834205,0.44344703770197486,0.02599328701896807,0.530559675279057,0.9492919141160348,0.09016655989750161,0.5232060428031893
0.47802669580828977,0.0565139333385372,0.43087971274685805,0.03457965810631489,0.534540629146827,0.9325414953555657,0.11595131326073034,0.5259361044314669
0.4678011084224496,0.07282803840449614,0.4145656076808992,0.044805245492155164,0.5406291468269456,0.9125932693771891,0.14942344650864833,0.530166312809625
